"Date","Opponent","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"2023-10-25","CHA",104,110,34,64,0.53125,5,29,0.1724137931034483,0.1724137931034483,27,38,30,15,0,0.5588235294117647,0.6129032258064516,1,0.3118279569892473,0.5346820652173914,0.44623655913978494,0.514018691588785,6,3,0.046875,0,0
"2023-10-27","NYK",103,120,30,55,0.5454545454545454,12,32,0.375,0.375,24,36,24,30,6,0.6,0.6923076923076923,0.8333333333333334,0.367816091954023,0.5876750000000001,0.5517241379310345,0.594059405940594,8,6,0.10909090909090909,0,0
"2023-10-29","MIL",102,127,32,56,0.5714285714285714,15,37,0.40540540540540543,0.4166666666666667,18,40,24,36,9,0.625,0.7142857142857143,0.8,0.3978494623655914,0.5340288043478261,0.5860215053763441,0.6116504854368932,8,3,0.05357142857142857,0,0
"2023-10-30","MIN",97,127,34,56,0.6071428571428571,14,30,0.4666666666666667,0.4666666666666667,17,36,32,30,12,0.5294117647058824,0.5625,0.7142857142857143,0.3488372093023256,0.5611110465116279,0.6395348837209303,0.6720430107526881,4,5,0.08928571428571429,0,0
"2023-11-01","WAS",110,130,37,60,0.6166666666666667,9,32,0.28125,0.28125,29,34,40,27,0,0.4594594594594595,0.5666666666666667,1,0.34782608695652173,0.5674445652173913,0.5489130434782609,0.6190476190476191,14,3,0.05,0,0
"2023-11-04","NOP",95,123,31,52,0.5961538461538461,14,41,0.34146341463414637,0.34146341463414637,19,30,32,39,3,0.4838709677419355,0.5769230769230769,0.9285714285714286,0.44086021505376344,0.5070978494623656,0.5591397849462365,0.5913461538461539,10,6,0.11538461538461539,1,0.024390243902439025
"2023-11-06","OKC",105,117,24,60,0.4,14,42,0.3333333333333333,0.3333333333333333,27,30,18,36,6,0.625,0.7142857142857143,0.8571428571428571,0.4117647058823529,0.5111392156862745,0.4411764705882353,0.49572649572649574,6,7,0.11666666666666667,0,0
"2023-11-09","ORL",104,120,26,46,0.5652173913043478,15,39,0.38461538461538464,0.38461538461538464,23,20,32,36,9,0.38461538461538464,0.4166666666666667,0.8,0.4588235294117647,0.5316864705882354,0.5705882352941176,0.6122448979591837,4,6,0.13043478260869565,0,0
"2023-11-11","MIA",102,109,20,41,0.4878048780487805,18,46,0.391304347826087,0.391304347826087,15,18,22,42,12,0.45,0.6,0.7777777777777778,0.5287356321839081,0.5383787356321839,0.5402298850574713,0.5684210526315789,10,4,0.0975609756097561,0,0
"2023-11-14","DET",101,126,33,54,0.6111111111111112,12,33,0.36363636363636365,0.375,24,36,30,30,6,0.5454545454545454,0.6,0.8333333333333334,0.3793103448275862,0.5126174418604651,0.5862068965517241,0.6313131313131313,6,6,0.1111111111111111,0,0
"2023-11-15","NYK",94,114,29,44,0.6590909090909091,12,31,0.3870967741935484,0.3870967741935484,20,32,26,36,0,0.5517241379310345,0.5714285714285714,1,0.41333333333333333,0.5513533333333334,0.6266666666666667,0.6627906976744186,2,2,0.045454545454545456,0,0
"2023-11-17","PHI",96,116,28,56,0.5,12,33,0.36363636363636365,0.375,24,28,28,30,6,0.5,0.6363636363636364,0.8333333333333334,0.3707865168539326,0.5663289772727272,0.5168539325842697,0.5686274509803921,12,3,0.05357142857142857,1,0.030303030303030304
"2023-11-21","IND",107,152,42,64,0.65625,15,31,0.4838709677419355,0.4838709677419355,23,40,44,24,21,0.47619047619047616,0.5263157894736842,0.5333333333333333,0.3263157894736842,0.5964326315789473,0.6789473684210526,0.7169811320754716,8,11,0.171875,0,0
"2023-11-22","BKN",115,147,33,67,0.4925373134328358,18,49,0.3673469387755102,0.3673469387755102,27,30,36,27,27,0.45454545454545453,0.625,0.5,0.4224137931034483,0.5698117391304348,0.5172413793103449,0.5708661417322834,18,5,0.07462686567164178,1,0.02040816326530612
"2023-11-25","WAS",103,136,34,65,0.5230769230769231,18,37,0.4864864864864865,0.4864864864864865,14,34,34,36,18,0.5,0.6071428571428571,0.6666666666666666,0.3627450980392157,0.536760294117647,0.5980392156862745,0.6181818181818182,12,6,0.09230769230769231,0,0
"2023-11-26","BOS",97,103,17,35,0.4857142857142857,19,53,0.3584905660377358,0.36538461538461536,12,12,22,27,30,0.35294117647058826,0.375,0.47368421052631576,0.6022727272727273,0.5115674418604651,0.5170454545454546,0.5421052631578948,2,3,0.08571428571428572,0,0
"2023-11-28","CLE",103,105,22,57,0.38596491228070173,13,44,0.29545454545454547,0.29545454545454547,22,24,20,27,12,0.5454545454545454,0.6,0.6923076923076923,0.43564356435643564,0.528331,0.41089108910891087,0.46396396396396394,4,11,0.19298245614035087,1,0.022727272727272728
"2023-11-30","SAS",108,137,35,63,0.5555555555555556,14,33,0.42424242424242425,0.42424242424242425,25,24,46,36,6,0.34285714285714286,0.375,0.8571428571428571,0.34375,0.542453125,0.5833333333333334,0.6284403669724771,6,7,0.1111111111111111,0,0
"2023-12-02","MIL",104,121,30,63,0.47619047619047616,15,38,0.39473684210526316,0.39473684210526316,16,32,28,21,24,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.37623762376237624,0.49974108910891085,0.5198019801980198,0.5454545454545454,0,6,0.09523809523809523,0,0
"2023-12-06","BKN",103,113,30,59,0.5084745762711864,12,35,0.34285714285714286,0.34285714285714286,17,32,28,27,9,0.5333333333333333,0.5714285714285714,0.75,0.3723404255319149,0.5345053191489362,0.5106382978723404,0.553921568627451,4,5,0.0847457627118644,1,0.02857142857142857
"2023-12-08","PHI",100,114,28,65,0.4307692307692308,13,39,0.3333333333333333,0.3333333333333333,19,22,34,27,12,0.39285714285714285,0.5238095238095238,0.6923076923076923,0.375,0.5275360576923077,0.4567307692307692,0.5044642857142857,14,7,0.1076923076923077,1,0.02564102564102564
"2023-12-11","DEN",99,122,27,52,0.5192307692307693,17,44,0.38636363636363635,0.38636363636363635,17,28,26,33,18,0.5185185185185185,0.5833333333333334,0.6470588235294118,0.4583333333333333,0.5464536458333333,0.546875,0.5817307692307693,6,7,0.1346153846153846,1,0.022727272727272728
"2023-12-13","TOR",101,128,30,59,0.5084745762711864,18,41,0.43902439024390244,0.43902439024390244,14,40,20,36,18,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.41,0.5447075,0.57,0.5925925925925926,4,9,0.15254237288135594,0,0
"2023-12-15","TOR",100,125,36,60,0.6,16,41,0.3902439024390244,0.3902439024390244,5,42,30,39,9,0.5833333333333334,0.6363636363636364,0.8125,0.40594059405940597,0.523539603960396,0.594059405940594,0.6067961165048543,6,5,0.08333333333333333,1,0.024390243902439025
"2023-12-16","CLE",96,119,26,49,0.5306122448979592,15,36,0.4166666666666667,0.4166666666666667,22,24,28,27,18,0.46153846153846156,0.5,0.6,0.4235294117647059,0.5548701219512195,0.5705882352941176,0.6134020618556701,4,3,0.061224489795918366,0,0
"2023-12-18","DET",102,130,30,49,0.6122448979591837,16,36,0.4444444444444444,0.4444444444444444,22,30,30,30,18,0.5,0.5555555555555556,0.625,0.4235294117647059,0.5924476470588235,0.6352941176470588,0.6649484536082474,6,3,0.061224489795918366,0,0
